gene,position,trxMean,energyMean,AAcount,ACcount,AGcount,AUcount,CAcount,CCcount,CGcount,CUcount,GAcount,GCcount,GGcount,GUcount,UAcount,UCcount,UGcount,UUcount
eYER111C,0,0,0,10239,3554,5117,6623,4123,1843,2006,3506,5949,2356,3281,3253,5227,3723,4405,5882
eYER111C,200,0,0,10239,3554,5117,6623,4123,1843,2006,3506,5949,2356,3281,3253,5227,3723,4405,5882
eYER111C,400,2.40322580645161,-1.88172043010753,10252,3560,5122,6632,4129,1843,2008,3508,5960,2358,3285,3254,5231,3725,4411,5889
eYER111C,600,5.82717678100264,-4.88733509234828,10304,3583,5143,6659,4150,1847,2016,3518,5989,2366,3294,3261,5252,3733,4425,5907
eYER111C,800,7.90396659707724,-6.28027139874739,10398,3614,5177,6703,4187,1856,2027,3540,6031,2379,3309,3274,5282,3759,4448,5943
eYER111C,1000,9.18480138169257,-7.28842832469775,10528,3655,5227,6767,4238,1870,2045,3571,6090,2397,3328,3294,5327,3800,4476,5994
eYER111C,1200,10.3254786450663,-8.03519882179677,10693,3703,5295,6849,4303,1893,2067,3612,6168,2420,3352,3323,5382,3857,4515,6055
eYER111C,1400,11.0423620025674,-8.37695763799744,10897,3763,5370,6951,4383,1927,2094,3666,6255,2446,3379,3360,5453,3932,4562,6129
eYER111C,1600,11.6113408151211,-8.98417011222682,11127,3838,5458,7059,4484,1964,2125,3726,6350,2480,3411,3399,5528,4014,4611,6208
eYER111C,1800,12.0327522451136,-9.05446381405178,11382,3927,5553,7191,4595,2006,2162,3799,6459,2519,3448,3447,5624,4106,4674,6305
eYER111C,2000,12.4171046344959,-9.15236502627809,11666,4021,5658,7351,4717,2054,2205,3879,6581,2565,3492,3503,5739,4210,4749,6422
eYER111C,2200,12.8325337985172,-9.21351940689056,11975,4125,5768,7533,4853,2109,2253,3973,6711,2622,3544,3564,5870,4326,4838,6563
eYER111C,2400,13.1564380264741,-9.40826313678302,12316,4244,5888,7741,5012,2170,2305,4075,6855,2684,3599,3631,6014,4457,4938,6713
eYER111C,2600,13.3930829304574,-9.6510970621049,12699,4378,6018,7969,5192,2236,2360,4183,7012,2752,3660,3702,6170,4596,5049,6877
eYER111C,2800,13.582554517134,-9.81664935964005,13117,4533,6157,8222,5398,2309,2418,4297,7176,2827,3724,3779,6348,4742,5168,7049
eYER111C,3000,13.7079416531605,-9.87222042139388,13570,4706,6300,8498,5629,2390,2479,4421,7348,2904,3789,3857,6538,4906,5292,7244
eYER111C,3200,13.8788432267884,-10.1279452054795,14066,4893,6459,8793,5880,2478,2547,4550,7535,2988,3859,3941,6741,5081,5421,7446
eYER111C,3400,14.1024390243902,-10.2136298421808,14589,5091,6631,9104,6147,2577,2620,4689,7734,3076,3939,4036,6957,5272,5559,7664
eYER111C,3600,14.189145183175,-10.3036635006785,15146,5302,6816,9439,6426,2683,2699,4834,7952,3167,4024,4138,7191,5471,5708,7896
eYER111C,3800,13.8232258064516,-9.98296774193551,15711,5516,7002,9783,6713,2793,2780,4981,8173,3262,4110,4242,7427,5675,5862,8137
eYER111C,4000,13.1609336609337,-9.50466830466833,16276,5730,7188,10127,7000,2903,2861,5128,8394,3357,4196,4346,7663,5879,6016,8378
eYER111C,4200,12.5946390782977,-9.09569715494947,16841,5944,7374,10471,7287,3013,2942,5275,8615,3452,4282,4450,7899,6083,6170,8619
eYER111C,4400,12.0696259576386,-8.71653898152323,17406,6158,7560,10815,7574,3123,3023,5422,8836,3547,4368,4554,8135,6287,6324,8860
eYER111C,4600,11.5866320571058,-8.36772658446898,17971,6372,7746,11159,7861,3233,3104,5569,9057,3642,4454,4658,8371,6491,6478,9101
eYER111C,4800,11.1524047470331,-8.05413283364566,18536,6586,7932,11503,8148,3343,3185,5716,9278,3737,4540,4762,8607,6695,6632,9342
eYER111C,5000,10.7646704180064,-7.77411575562703,19101,6800,8118,11847,8435,3453,3266,5863,9499,3832,4626,4866,8843,6899,6786,9583
eYER111C,5200,10.5609227129338,-7.62697160883283,19666,7014,8304,12191,8722,3563,3347,6010,9720,3927,4712,4970,9079,7103,6940,9824
