gene,position,trxMean,energyMean,AAcount,ACcount,AGcount,AUcount,CAcount,CCcount,CGcount,CUcount,GAcount,GCcount,GGcount,GUcount,UAcount,UCcount,UGcount,UUcount
eYDR181C,0,4.35754189944134,-3.64301675977654,8766,3091,4418,5901,3528,1546,1785,3071,5173,2012,2970,2900,4705,3279,3853,5299
eYDR181C,200,10.910290237467,-7.53139841688654,8810,3106,4433,5920,3548,1555,1787,3088,5185,2023,2979,2910,4722,3292,3869,5321
eYDR181C,400,13.1744386873921,-9.52297063903281,8891,3130,4466,5954,3582,1569,1795,3114,5216,2040,2998,2930,4749,3319,3896,5350
eYDR181C,600,14.6277278562259,-10.5826700898588,9000,3166,4515,6002,3631,1593,1813,3151,5264,2069,3023,2957,4785,3358,3934,5389
eYDR181C,800,14.9908069458631,-11.1255362614913,9147,3209,4583,6067,3689,1625,1837,3195,5333,2106,3055,2991,4834,3404,3983,5443
eYDR181C,1000,15.2434266327396,-11.3478371501272,9327,3265,4666,6152,3761,1662,1864,3245,5423,2147,3096,3033,4897,3456,4046,5512
eYDR181C,1200,15.5431286549708,-11.4760233918129,9531,3332,4765,6254,3844,1705,1898,3304,5538,2195,3137,3084,4968,3517,4127,5593
eYDR181C,1400,15.4815294880104,-11.5705767984446,9767,3406,4881,6375,3937,1751,1934,3370,5673,2248,3183,3139,5053,3585,4217,5688
eYDR181C,1600,14.2305896088733,-10.5472854640981,10003,3480,4999,6499,4030,1797,1970,3438,5811,2302,3232,3196,5140,3654,4311,5785
eYDR181C,1800,13.6336689038031,-10.1048657718121,10239,3554,5117,6623,4123,1843,2006,3506,5949,2356,3281,3253,5227,3723,4405,5882
