gene,position,trxMean,energyMean
eYCL031C,0,1.40609137055838,-1.5492385786802
eYCL031C,200,7.10941475826972,-6.56386768447837
eYCL031C,400,10.2782462057336,-8.24384485666105
eYCL031C,600,12.1538461538462,-9.16494325346783
eYCL031C,800,13.4038267875126,-9.48549848942597
eYCL031C,1000,12.6975568660489,-8.93117101937657
eYCL031C,1200,10.9217391304348,-7.68210144927535
eYCL031C,1400,10.4521497919556,-7.3518030513176
eYCL031C,0,1.40609137055838,-1.5492385786802
eYCL031C,200,7.10941475826972,-6.56386768447837
eYCL031C,400,10.2782462057336,-8.24384485666105
eYCL031C,600,12.1538461538462,-9.16494325346783
eYCL031C,800,13.4038267875126,-9.48549848942597
eYCL031C,1000,12.6975568660489,-8.93117101937657
eYCL031C,1200,10.9217391304348,-7.68210144927535
eYCL031C,1400,10.4521497919556,-7.3518030513176
