gene,position,trxMean,energyMean,AAcount,ACcount,AGcount,AUcount,CAcount,CCcount,CGcount,CUcount,GAcount,GCcount,GGcount,GUcount,UAcount,UCcount,UGcount,UUcount
eYAL001C,0,8.52551020408163,-5.41275510204082,66785,24913,30649,44369,31172,13545,11937,21631,35779,14513,17437,18750,32989,25173,26374,37780
eYAL001C,200,13.8409090909091,-8.20909090909092,66815,24928,30667,44400,31188,13553,11944,21648,35801,14525,17458,18768,33015,25187,26400,37809
eYAL001C,400,15.0956375838926,-9.08003355704697,66865,24955,30692,44459,31212,13572,11960,21675,35845,14540,17486,18791,33059,25212,26440,37853
eYAL001C,600,15.5100502512563,-9.76959798994974,66940,24993,30734,44537,31248,13595,11981,21711,35908,14560,17525,18824,33118,25247,26492,37913
eYAL001C,800,15.6546184738956,-10.1781124497992,67039,25045,30791,44631,31292,13623,12013,21761,35994,14584,17568,18865,33191,25297,26553,37989
eYAL001C,1000,15.9314381270903,-10.4112876254181,67160,25103,30867,44741,31343,13657,12048,21823,36100,14617,17624,18915,33278,25354,26630,38086
eYAL001C,1200,16.0150429799427,-10.7949140401146,67316,25172,30962,44867,31405,13696,12088,21897,36224,14659,17689,18972,33382,25420,26717,38190
eYAL001C,1400,16.1572681704261,-10.9896616541354,67499,25250,31076,45012,31484,13745,12134,21979,36366,14708,17756,19038,33499,25500,26813,38307
eYAL001C,1600,16.2422048997773,-11.169153674833,67712,25332,31211,45176,31572,13800,12185,22067,36527,14764,17837,19113,33631,25589,26919,38441
eYAL001C,1800,16.627254509018,-11.3294589178357,67942,25421,31363,45349,31673,13858,12246,22168,36701,14836,17936,19200,33770,25692,27038,38593
eYAL001C,2000,16.6106557377049,-11.5158469945355,68207,25522,31536,45536,31791,13924,12311,22276,36891,14915,18041,19297,33923,25803,27165,38758
eYAL001C,2200,16.635225375626,-11.5318447412354,68502,25634,31721,45738,31919,13995,12381,22395,37099,15002,18156,19401,34086,25921,27308,38948
eYAL001C,2400,16.7191833590139,-11.6847842835131,68824,25760,31924,45953,32063,14073,12457,22521,37324,15094,18286,19513,34262,26049,27457,39156
eYAL001C,2600,16.7378397711016,-11.7100858369099,69170,25894,32146,46190,32220,14154,12539,22655,37573,15191,18424,19633,34450,26191,27618,39378
eYAL001C,2800,16.7439919893191,-11.7087116154873,69551,26033,32384,46442,32383,14246,12625,22801,37839,15297,18568,19764,34650,26341,27796,39616
eYAL001C,3000,16.7490613266583,-11.7009699624531,69963,26187,32632,46711,32561,14346,12716,22957,38116,15409,18721,19904,34867,26500,27985,39871
eYAL001C,3200,16.7411660777385,-11.6897820965842,70400,26354,32895,47002,32753,14447,12810,23123,38414,15525,18885,20052,35098,26669,28189,40138
eYAL001C,3400,15.9122073578595,-11.1092809364549,70841,26522,33158,47295,32945,14549,12904,23289,38712,15642,19050,20201,35330,26838,28395,40406
eYAL001C,3600,15.0800316957211,-10.5282884310618,71282,26690,33421,47588,33137,14651,12998,23455,39010,15759,19215,20350,35562,27007,28601,40674
eYAL001C,3800,14.3774867791488,-10.0377990430622,71723,26858,33684,47881,33329,14753,13092,23621,39308,15876,19380,20499,35794,27176,28807,40942
eYAL001C,4000,13.7275787448906,-9.58405866794903,72164,27026,33947,48174,33521,14855,13186,23787,39606,15993,19545,20648,36026,27345,29013,41210
eYAL001C,4200,13.2343532684284,-9.23970792767734,72605,27194,34210,48467,33713,14957,13280,23953,39904,16110,19710,20797,36258,27514,29219,41478
eYAL001C,4400,12.6957971981321,-8.86370913942629,73046,27362,34473,48760,33905,15059,13374,24119,40202,16227,19875,20946,36490,27683,29425,41746
eYAL001C,4600,12.4521264994547,-8.69358778625955,73487,27530,34736,49053,34097,15161,13468,24285,40500,16344,20040,21095,36722,27852,29631,42014
eYAL001C,4800,12.4521264994547,-8.69358778625955,73928,27698,34999,49346,34289,15263,13562,24451,40798,16461,20205,21244,36954,28021,29837,42282
