gene,position,trxMean,energyMean,AAcount,ACcount,AGcount,AUcount,CAcount,CCcount,CGcount,CUcount,GAcount,GCcount,GGcount,GUcount,UAcount,UCcount,UGcount,UUcount
eYGR100W,0,0,0,19666,7014,8304,12191,8722,3563,3347,6010,9720,3927,4712,4970,9079,7103,6940,9824
eYGR100W,200,4.50523560209424,-3.13350785340314,19680,7022,8311,12201,8732,3567,3348,6015,9728,3929,4715,4973,9085,7109,6945,9842
eYGR100W,400,8.78694158075601,-5.73659793814433,19717,7039,8330,12232,8755,3575,3354,6029,9753,3938,4727,4984,9103,7126,6965,9885
eYGR100W,600,10.5511508951407,-6.79373401534527,19778,7066,8361,12282,8788,3589,3366,6055,9791,3953,4744,5005,9139,7155,6997,9953
eYGR100W,800,11.8258655804481,-7.69195519348269,19867,7101,8407,12349,8831,3610,3381,6093,9841,3974,4776,5037,9193,7196,7039,10037
eYGR100W,1000,12.9619289340102,-8.53671742808798,19983,7143,8467,12437,8884,3636,3407,6137,9912,4004,4819,5079,9259,7247,7096,10132
eYGR100W,1200,13.629522431259,-8.69052098408104,20113,7192,8542,12543,8946,3667,3436,6192,10000,4041,4872,5137,9339,7307,7175,10250
eYGR100W,1400,13.9083438685209,-8.55992414664981,20252,7252,8626,12667,9017,3702,3469,6261,10100,4082,4933,5209,9435,7379,7271,10407
eYGR100W,1600,14.2912457912458,-8.87031425364759,20413,7320,8727,12813,9106,3742,3506,6338,10215,4133,5000,5290,9545,7463,7380,10581
eYGR100W,1800,14.6448032290616,-9.19964682139254,20604,7402,8839,12979,9214,3789,3547,6423,10345,4192,5074,5378,9667,7556,7504,10769
eYGR100W,2000,14.9133822181485,-9.34115490375804,20820,7494,8962,13160,9331,3840,3594,6520,10491,4256,5161,5480,9799,7661,7646,10977
eYGR100W,2200,15.0902602854744,-9.50835432409741,21058,7595,9101,13360,9456,3892,3647,6631,10656,4332,5258,5589,9948,7773,7805,11201
eYGR100W,2400,15.2412858249419,-9.75336948102248,21326,7706,9258,13576,9590,3949,3704,6754,10844,4417,5364,5705,10110,7891,7980,11438
eYGR100W,2600,15.3637670740474,-9.95283968368083,21628,7832,9426,13810,9742,4015,3769,6886,11045,4510,5473,5827,10284,8022,8163,11690
eYGR100W,2800,15.6197183098592,-10.1852112676057,21948,7968,9616,14055,9910,4087,3846,7026,11264,4616,5588,5964,10468,8165,8358,11953
eYGR100W,3000,15.5116940581542,-10.15600505689,22286,8110,9819,14310,10086,4166,3927,7173,11498,4728,5707,6107,10658,8315,8563,12231
eYGR100W,3200,14.6155449672424,-9.56926742108401,22624,8252,10022,14565,10262,4245,4008,7320,11732,4840,5826,6250,10848,8465,8768,12509
eYGR100W,3400,14.4989660265879,-9.49293943870018,22962,8394,10225,14820,10438,4324,4089,7467,11966,4952,5945,6393,11038,8615,8973,12787
